protein1	protein2
INSR	PRKCZ
ATR	RAD1
PLCB1	INPP5B
PARP1	TRAF2
HSPD1	PPP2R1A
ARF6	DYNC1H1
PSEN2	APBA3
XIAP	TRIM32
DICER1	RPS6
SMAD3	FOXM1
MTMR3	EXOSC5
BAG3	TPD52
PDGFRB	PDGFD
HUWE1	MED4
HNRNPA1	EEF1G
EGR1	TGFBR2
ANXA2	VIM
LATS2	PLOD1
MEF2D	HDAC9
F2RL1	COPS5
SDCBP	THG1L
DAXX	SUMO2
SIRT1	PARP1
PIP5K1C	PSAP
SUMO1	CARD9
HSP90AB1	EIF2B4
JUN	HIF1A
CIRBP	THOC5
PTPN22	GRB2
SREBF1	MED13
DAB2	TGFBR1
HSF1	DR1
DDX42	PHF5A
IL6R	IL6R
MAPK14	USF1
PPP1CA	SON
ID1	THOC6
ECPAS	DDX1
CDKN1A	TCF4
PTPN1	GSK3B
EGFR	PRKCZ
LTBR	VAPA
CTBP1	EP300
GRB2	HSP90AA1
MAP3K5	MAP2K1
SIN3A	TAF9
LRP2	MAPK8IP2
MAGOH	MAGOH
UBE2V2	SIAH1
SNCG	SLC6A4
RNF14	TCF4
RNPS1	PPIL2
CUL3	PRPF19
SIN3A	SMARCC2
TADA2A	TAF9
FBXO6	GBA
CNTROB	CDC73
CUL1	HNRNPA1
LCK	SQSTM1
STK4	DAXX
APOA1	KRT9
NCOR1	SMARCB1
DCN	MMP3
6-Mar	PPARG
HDAC1	MYCN
UCHL5	RAD23B
NEDD4L	SIVA1
CDK6	TRA2A
NEDD4	NUDT21
JUN	NCOR2
MYO6	LMTK2
MYC	SMC4
VDAC1	RIPK2
HCK	SOS1
SUFU	LAMTOR3
SMARCC2	MTA2
NDRG1	NTMT1
MAP3K11	KIF3B
NCOR2	EP300
LRRK2	STK25
CREB3	PLPP1
PLCB1	NDEL1
ADRA1B	PPP1R9B
POT1	CFL1
SRSF1	PPM1D
NDUFS3	SAMM50
CFLAR	CFLAR
SNW1	HNRNPM
DNAJB2	HSPA4
WDR5	MYBBP1A
TOB2	PABPC1
RCN1	PTGES3
GSTM2	GSTM2
PDPK1	ACTG1
IGF2BP1	SNRNP200
RPS15A	YWHAH
ATP5F1A	BASP1
ADCY7	PDE5A
IL1RAP	SMAD2
ACTR5	FMNL1
H2AFX	HIST1H4A
RPS6KA2	STK11
SORT1	HP
WDR83	CRNKL1
CPSF6	DHX9
ANXA1	HSPD1
UPF1	TF
DHCR7	WDR77
ARRB2	HNRNPU
CIRBP	THOC6
KRAS	PIK3R2
MCM7	CDT1
AHSA1	HSPD1
APC	EPAS1
DMAP1	EPC1
VDR	FOXO3
SAMHD1	XPO7
RPA2	RAB8A
TINF2	AFAP1L2
STAT6	NFKB1
UBE2V1	G6PD
CLOCK	CLOCK
USP28	BAP1
MGRN1	UBE2Q2
YEATS4	UPF3B
ENO1	ANXA1
NCK2	SPRY2
LRP6	WNT3A
TRIM33	TBL1XR1
CDK2	PDS5B
NKX3-1	SLC22A18
NEDD4	NEDD4
INTS5	INTS7
CEP250	TUBG1
ATXN7	FBN1
FER	FER
KIF2C	KIF2C
PPARGC1A	SF1
PSEN2	AAMP
VCAM1	MAPRE1
ATF2	PRKCB
IPO11	HNRNPH1
PIK3R1	RRAS
SYNCRIP	RPS13
MLH1	ANXA6
RAD50	XRCC4
PPP5C	RPS6KB1
CUL3	ATP1A4
S100A4	TPM2
RNF13	SNAPIN
NPM1	SNRPF
FOS	USF1
CALM1	RPS15A
TRAF4	TRAF4
SRI	SRI
USP15	TRAF4
CDK2	CLIC1
PRKCB	ARRB2
SFPQ	TPR
TANK	HNRNPM
ELAVL1	QKI
TANK	USP7
TRIM54	KAT14
MCF2	GOLGA5
PARP1	CHD7
CDK2	UBE2N
RHOA	TGM2
SKP2	PHB
USP12	UCHL5
NDE1	NDE1
PARP1	RAD23A
BIRC3	TRADD
DNAAF4	HSPA4
TERF2	HMGN3
RNF2	XPO1
SPDEF	SLC4A2
PLCE1	SYNJ1
PLCG1	GSN
APOA1	PON1
ACIN1	PPIL2
CTSD	APP
ELAVL1	IMPA1
SRRT	PSME3
PIM1	MDM2
LATS1	CNTROB
SMAD9	DST
MAP2K6	GADD45A
GSK3B	XPO6
VSIG4	INTS7
SYNCRIP	PHB2
GRB2	CLASP2
EGFR	RAF1
RUVBL1	NCBP1
SMURF1	RPS6
CPSF2	SMARCC2
AGTR2	PIK3CB
CUL1	TRIM28
XPO1	TNS3
HUWE1	WWOX
TUT1	CPSF1
PRPF6	CRNKL1
PPP1CB	TP53BP2
RPA1	PRPF19
AHR	NRIP1
MORC3	HTT
TCEA1	NFATC2IP
HDAC5	XRCC6
RARA	SP1
CASP8AP2	CREM
JUN	POU2F1
GSK3B	HSD17B4
SORT1	TSEN2
PSME3	ADAP1
ARFGEF2	NEDD4L
NUDT21	HDAC10
HNRNPA1	ATP5F1A
DAB2	PYCR1
TUBB	RPS13
VAMP3	STX6
SDCBP	RAB5A
RUVBL1	DDX42
UBE2E2	RNF14
H2AFX	ALYREF
HDAC2	DNMT1
HDAC5	XRCC5
DNM1	EPS15
EED	HSPA9
SIAH2	LATS2
NEDD4L	TGFB1I1
ARRB2	HNRNPH1
TCF3	ERLIN2
PTPN11	CAT
XPO1	NCDN
HNRNPLL	CCNB2
RPS6KB2	DDX5
KIFAP3	TAF1
DDX39A	DDOST
CLK1	ECE1
KAT2B	CDK2
TOPBP1	MLH1
MAP3K1	HSP90AA1
TERF2	KPNA2
ZACN	LRRC8A
RIPK1	RIPK1
MAP2K6	PICK1
HP	SLX4
PRKCA	CFLAR
HNRNPF	APC
BIRC2	UBE2D3
GRB2	IGF2BP1
IKBKE	CYLD
ENO1	RPS3A
HNRNPA1	UPF1
CLTC	PHB
SRRT	THOC2
MOV10	JMJD6
HMGCR	ERLIN2
ARHGAP9	IKBKG
TLE5	IRX2
SIRT7	SF3A1
S100P	AGER
CLPB	TSEN2
THRA	MED24
DDB1	CAND1
MYC	HSPA1A
PEX2	UBE2B
SP1	STAT1
APC	ZNF106
TLE5	EYA2
ELAVL1	CHD1
MYC	CDK5RAP2
SLU7	SF3B1
ING3	EPC1
PDPK1	PKN1
NECAB3	APP
HUWE1	OLA1
EXOSC5	LRP4
AHSA1	UBTF
DOCK2	ELMO1
NPM1	PPM1G
MAPRE1	DBN1
NR1I2	PRMT1
DDX20	DDX20
ITSN1	ARF6
HSP90AB1	ACTN1
EPS15	PTPN1
SDCBP	MED4
ATP5MF	NDUFA6
HNRNPA1	MAP3K14
NOTCH1	CNTN1
SOD1	HSPA8
STK11	SMARCC1
RASA1	RASA1
CSNK2A1	SMC3
NDUFS3	NDUFB4
ACIN1	SF1
FBXW11	MAST2
CLK1	THRAP3
PHLDA3	SAMHD1
CLK1	CRNKL1
MOV10	SART1
BRCA1	BRAP
SF3B1	XAB2
MCM2	RPS26
PEG10	ACVR2A
TP53	MYLK
PSMC5	PSMG2
RELA	PPP2CB
RUVBL2	MAP3K3
SIRT2	KAT2B
VDR	TRRAP
XPO1	MTOR
DHX9	PABPC1
YWHAE	DNAJA1
SMAD3	CSNK1D
FBXW11	LPIN1
APC	NUP214
CDK2	E2F4
CUL4A	PCNA
SMAD3	PEX6
NPM1	KIF11
NCL	GTF2F1
RNF2	HSPA1B
IL17F	IL17F
SPRY2	PPP2CA
PTCH1	CHST12
PIN1	DMPK
PMS2	KPNB1
DHX9	C18orf32
PAK1	CDC42
FN1	CPSF6
TFAP4	EHMT2
SMAD7	BMPR1A
DVL3	KAT7
UBE2I	MAP3K1
SNRNP200	THOC7
MYC	ELP1
TRAF6	CASP8
RBPJ	SIN3A
AP3D1	CDC73
PTPN11	SOCS3
TINF2	STUB1
UBE2E3	RNF13
EXOSC5	DECR1
DAB2	AXIN1
SMAD3	DVL1
UBE2G2	MDM2
PRKDC	BRCA1
ARHGAP1	PTPN11
XRCC5	MIB2
RBM22	RBM25
COPRS	RUNX1
NCK1	MED14
FN1	QKI
BCR	RHOA
AHR	AHR
ATXN7	RNF31
SLC25A4	GALNT2
PTEN	JUP
RAB11A	RCHY1
GNAI2	SLC35B2
PTEN	CASP8
FBXO6	RRM1
PRKCZ	CASP7
UBE2K	RNF167
GTF2H3	CCNH
ATF2	TFRC
ANXA7	ZBTB16
BTRC	MTSS1
NR2F1	NCOA2
BRCA2	INTS5
ATF2	CLIC1
ING1	SMARCC2
SIRT7	PPP1CC
CLU	CHUK
SRPK2	NSRP1
HSPB1	PTGES3
IKBKG	SPAG9
IFI30	TRIM68
CALCR	THBS1
STK11	PDXP
PICK1	EFNB2
ARRB2	RALGDS
CDC42	KAT6B
TP53BP2	KDM1A
LRRK2	CASP8
PFN2	PFN2
MAML1	EP300
ARRB2	RAB5C
EGFR	TPP1
OBSL1	IGF2BP1
RBM25	CDC42
NEDD4	RNF7
IKBKB	PRKCD
APEX1	NME1
GTF2I	MTA2
NUP62	NUP62
MED4	RXRB
XPO1	STXBP3
PSEN1	RAB11A
BRCA1	MSH3
UBE2I	MGRN1
OPRM1	STAT6
APEX1	POLR3D
PTPA	APP
SMURF2	UBE2L3
RCOR1	MBD3
SNCA	YWHAE
BAG6	FNDC3A
HNRNPA1	NAMPT
YWHAH	MYCBP2
RIPK1	CRADD
HDAC11	PES1
HSP90AA1	HECTD3
PPP2R1A	RBMX
OBSL1	ACIN1
ACTA1	RPS6KB1
RAB5B	CLTC
SMAD2	MYO5A
FN1	SNRPF
CDKN2C	CTDSP1
PFDN5	PITX1
YWHAG	BAIAP2
VCP	COMT
BAG3	UBE2N
NUDT21	XRCC4
DYNLT1	UXT
VPS26A	VPS26A
ZBTB16	VDR
MYH9	PPP1CA
HIST1H4A	ERCC6
PICK1	POLL
MED4	EEF1E1
TNIK	PAFAH1B1
PRKCQ	MAP3K7
NME2	PPP2CA
SYVN1	SYVN1
RNF2	ATG14
GRB2	CFH
UBE2K	PICK1
RAB5A	MKNK1
PTEN	BMI1
THOC6	THOC7
INSR	SRC
STRN	TJP1
AFG3L2	TNFRSF1A
CDKN1A	HAUS1
ENO1	THOC7
BTRC	USP47
NCL	PTBP1
HMGB2	PKNOX1
MAPK9	JUND
CNTF	APOE
HRAS	NF1
CUL1	RICTOR
CBX8	ESCO1
PDGFA	PDGFA
KPNB1	EXO1
AHI1	MED4
PPIF	NABP2
AKT1	APOH
PRKG1	TBXA2R
DDOST	ARF6
XPO1	CDC42EP1
POLD1	TOP2B
ERBB2	GRB2
OBSL1	DST
CTNNAL1	PCGF2
XPO1	ARRB2
NCOA3	IKBKB
GPR183	EIF2B5
RUVBL2	SMARCA5
TERF2IP	TWF2
DYNC1H1	DYNLT1
TARDBP	RPS6
TRAF4	CBLC
CTNNA1	PKD1
LIG4	HNRNPA1
COL6A1	PDGFA
REL	TNIP2
MDM2	HNRNPK
WBP4	SF1
GOPC	BECN1
SLC25A4	ATP6V0D1
DNMT1	DNMT3B
RBMX	HNRNPM
CUL1	MYH10
POT1	CLIC3
JAK1	PIK3R1
ARF6	AP3D1
TJP1	CDH1
PTPN14	CTNNA1
ELAVL1	SOCS3
ELAVL1	NDFIP2
CAND1	CARM1
GIGYF2	PABPC1
RNF2	RPS26
RPS27L	TNFRSF1B
SUZ12	ALDOA
NBN	TERF2IP
MYC	TF
LIMK1	RRAS
RNF8	PCNA
NEDD4	CPSF1
ATG7	TBCD
UBE2L3	UBE2V2
SNW1	NCOR1
MYC	KDM1A
DDX1	XPO1
ERBB2	VAV2
UBE2D2	SIAH1
YWHAB	CDKN1B
MAPK7	CDC37
FBXW7	RCOR1
RAP1A	RALGDS
GTF2H1	BRCA1
C18orf32	RPS15A
HDAC5	HSPA5
HRAS	SPRY2
RXRB	MED14
SMAD2	ETV4
NCOR2	NR1I2
TRRAP	MED14
FHL2	ABLIM1
SIRT7	USP7
ITCH	ITCH
PPP2CB	PPP2R1A
SNW1	SF3B1
HSPA4	PTGS2
SAMHD1	CUL4A
SRPK2	MIB2
CEBPB	PRKACG
ATG5	SIRT1
MCM2	LGALS1
ELAVL1	RAP2C
PRMT5	NPM1
CSNK1E	DVL3
GHR	JAK1
CREBBP	ZBTB17
ENO1	LCK
ATP5PB	ATP5F1B
ANXA7	EXT2
TP53BP2	BAG3
SYK	FGR
KDM5B	AXIN2
CDK2	PSMC5
XPO1	RIPK1
ZDHHC17	WASF2
HDAC2	RBBP7
REL	UBASH3A
HSPA5	RAB14
PPP1R9B	CCKBR
MAGED1	SPTLC1
CUL3	MAGED1
RNF2	CISD1
EPHA7	EPHA7
BRD7	HIST1H4K
TNKS2	TNKS
CENPJ	PTPN12
IQCB1	MYH9
CUL3	HIST1H4I
BMPR2	DYNLT1
PICK1	PKD2
CEBPB	ICAM1
CDH1	EP300
HNRNPA1	ACIN1
SNRNP200	BPTF
NFKBIA	MCM7
DBN1	NUMB
MCM2	ATP5F1B
HSPD1	NCAPD2
EED	DDX42
EEF1D	SAFB
PTEN	RNF146
PIN1	WRNIP1
GSN	VCL
RBCK1	TRAF6
CDK4	PAK1
SIN3A	CSNK2A1
CFTR	RYR2
G6PD	VCL
HNRNPH1	YBX1
APOE	MAP2
CALCOCO2	RBM15
UBE2I	ZNF106
UBQLN1	USP9X
CDT1	DDB2
RBBP5	WDR5
RNF2	U2AF2
WDR5	MCC
H2AFX	TRAP1
ALYREF	NCBP1
ERO1A	LRSAM1
CUL3	RPS6
MAP3K7	PDPK1
SIRT6	UBR5
CD81	EEF1D
PCNA	FANCD2
LYN	LYN
HDAC10	NCOR2
NEDD4	AMOT
GSK3A	JUN
CUL3	RPS3
TERF1	STUB1
VDR	STAT1
HSPB1	CASP3
RAF1	JAK2
UBA6	DYNLT1
BAHD1	TRIM28
MOV10	TWSG1
ABI2	TRIM32
NR1I2	RXRG
PHLDA3	TNPO3
NMT1	SRC
BCL6	NCOR1
RAB8A	PDE6D
TRIM22	TP53
MCM2	NPM1
NTMT1	APP
TBX3	HDAC5
SNW1	RBM8A
SMAD3	APP
PMS2	PCNA
CREBBP	CUX1
HNRNPK	QKI
RAD9A	RAD17
TP53	ERN1
TERF2	MYO10
ADAP1	NCL
MLH1	PPP2R1A
EEA1	RUVBL1
MOV10	MKNK1
CDK2	PODXL
EGFR	GNAS
DDX5	CRNKL1
TRIM33	SMARCC1
ATP5F1C	RPS6
PRPF19	THOC6
HSPD1	HSP90AB1
BAG1	PARK7
MDM2	POT1
HDAC2	ANTXR1
MYC	DYNC1H1
HSPA5	TXNRD1
GTF2H2	BRCA1
TP53	WDR77
TRAF6	UBE2V1
PTK2	PIK3R1
CAND1	HNRNPU
PRPF19	SNRPF
YWHAB	SORBS1
EGFR	PLCG1
PPP4C	IKBKG
RNF14	RNF14
SF3B1	THOC7
HNRNPK	VCP
REL	SEC31A
AGO3	PRKAR1A
BARD1	MCM6
DNMT3A	LEO1
HCK	AGK
CSNK2A1	VDR
DAXX	ADNP
COPS5	DYNC1H1
NFKB2	TRAF3
ATG4C	PSMC5
SUMO2	UBE2I
EIF2S2	TP53
NUDT21	TJP1
GSTP1	MDM2
HIST1H4I	BPTF
CYCS	VHL
SIRT7	UTRN
RUVBL2	PCBP2
MDM4	USP7
EGFR	RAPGEF1
PLCB1	SYNJ1
UBE2D2	RELA
DHX9	STAT6
VCAM1	UPF1
PRKCZ	VIM
ATXN1	PIAS1
PPP1CA	PIAS1
AKT2	APP
RBPJ	RCC1
CREB1	CHD8
MIB2	UBE2N
A4GALT	TFAP4
KLF5	GSK3B
ARHGDIA	FADD
HNRNPU	RPS27L
CTBP1	RUNX1
EPAS1	MED12
MALT1	KDM1A
HDAC11	KDM1A
PRMT5	RBM4
SMAD2	EPB41L5
ANXA1	KPNB1
CLK1	SSBP3
LRRK2	GNA12
EPAS1	SMARCA4
G6PD	YWHAH
FOXO1	SETD7
VHL	HNRNPM
ECPAS	CEP152
NCK2	ERBB2
HOOK2	RITA1
FN1	FLNA
CSNK2A1	PKD2
SMAD2	HMGN3
JAK2	EMD
SRRT	SF1
RHOU	SRC
SMURF1	UBE2D2
RUNX3	HDAC5
HDAC1	SMARCA4
TOPBP1	PIAS2
ACTL6A	TRRAP
TLR2	IRAK1
FLNA	PSEN2
SYNCRIP	PABPC1
TARDBP	RPS3
HDAC5	HDAC5
NDUFS7	NDUFAF5
RBMX	WDR83
MYSM1	KIF11
WARS	DNMT3B
DGCR8	HNRNPU
FOXO1	PPARG
TARDBP	PYM1
BARD1	TP53
SIAH2	TNK2
HUWE1	MAML1
FOXO1	SRC
CTCF	LMNA
GSK3B	CCND3
WDR83	EXO1
SMAD2	U2AF2
MYC	PPP6C
FLNA	JUP
ELAVL1	SS18
SRSF6	RBM15
PRKG1	SF1
GRB2	HIST4H4
LRP2	ITGB1BP1
ANAPC4	BUB3
CREBBP	TRIM21
APP	ADAM17
DDX20	RPS3
PTGS2	COPS5
CDC34	BTRC
NPM1	EEF1D
PAXIP1	PRDX6
XPO1	TNIP2
RPS13	VIM
RNF11	NEDD4L
PABPC1	NPM1
NCBP1	PPM1G
MED4	MYCBP2
ATM	NSD3
AKT1	TBK1
ERCC4	RPS13
FN1	PSMB5
MGRN1	HSPA4
NCBP2	SRSF1
MOV10	PPM1G
TERF1	DOCK2
PIAS2	UBQLN1
H2AFX	HSPA5
NPM1	DDX1
CRBN	KDM1A
RNPS1	SRRT
ZFP36	PPP2CB
TERF1	RTN4
SIRT7	PSMC2
CDK4	LMNA
PPP2R1A	PSIP1
USP28	USP4
SMAD3	CEBPB
MYC	SNRPC
BRAF	HSPA5
SUMO2	CCNE2
ZWINT	MTMR6
RERE	VIM
YY1	EZH2
FOXC1	MECP2
TRIM28	CDC34
RNF4	ATXN1
BMI1	AGO2
BARD1	BRD7
RUNX1	SMARCB1
APPL1	RTCB
TOMM40	APP
CDH1	EGFR
MINK1	RAC1
GTF2I	SLU7
SMARCD1	HMGB1
MAPRE1	KIF2C
SYNCRIP	DYNC1H1
PFKM	XPO6
BICD2	RAB6A
MDM2	GTF2I
WDR5	HSPA4
DISC1	TUBB
PHLDA3	RFC3
ANAPC11	UBE2D1
THOC7	DHX9
GTF2I	RBBP7
HCK	CREBBP
CDK2	PHGDH
BAG3	ATG7
HNRNPU	THRAP3
NASP	VCP
PTCH1	HSPA5
MOV10	AGGF1
XRCC6	HDAC6
MOV10	SF3A1
FN1	VCP
RAB5A	SNCA
KLF10	KAT2B
RPA2	ATP6V0D1
SOS2	TAF1
HGS	MAGED1
TFAP4	ARID1A
WDR82	HCFC1
ACACA	RASA1
CUL3	HIST1H4A
HDAC2	ARID1A
VCAM1	STOM
HSP90B1	HSP90B1
PSMD10	PSMC3
ECPAS	PSMC4
HSPH1	USP7
GRB2	SMARCD3
SFPQ	MAP3K14
PSMD14	DPY30
SIRT7	SPAG9
PTK2	RIPK1
SUMO2	KDM1A
NR3C1	RXRB
CDC16	TRIM33
LAMA1	LAMC1
ITGAV	SP3
UBA2	USP34
CUL4A	PIAS2
SFPQ	HDAC2
SMAD7	SASH3
PTEN	SETX
SLU7	RBM22
PNKP	KDM1A
FYN	RAPGEF1
SMAD5	RBM4
SMARCD1	SMUG1
PSMC2	SNRNP200
MAP3K1	TP53
USP15	USP20
CUL1	PLOD1
TADA2A	PRPF6
XRCC6	MAPK8
TRAF6	BIRC3
POLD1	POLE4
MAPK8IP2	ANGPT1
ARF6	APP
ANXA6	HPRT1
ADRB2	KCTD13
USP7	PICK1
ERBB2	ERRFI1
POLD3	POLA1
PMS2	RUVBL2
SMAD3	IRF7
PSEN2	RHEB
PTPN1	ACTA1
LATS1	RAF1
RPS3	IKBKG
APP	MAPK8IP2
UBASH3A	DNM1
MEN1	STUB1
CALM1	GTF2I
AGO3	FLNA
MAP3K3	RUVBL1
TERF2IP	RECQL4
PIN1	TP53
HNRNPA1	MYH9
BCR	ERCC3
ANXA1	NFKBIA
ENO1	NTN4
MYBBP1A	UPF1
ACTN3	REL
DYNC1H1	KATNA1
MDM2	U2AF2
MEN1	FANCD2
AGO4	AGK
PABPC1	LUC7L3
PPIL2	SNRNP70
MYC	SMAD2
RUVBL2	DDX42
SRC	EPHA4
SDCBP	SDCBP
POT1	WIPI2
PIAS3	CREB1
APCDD1	RXRB
NPM1	RELA
SOD2	ACO2
UCHL5	HSPA5
EED	NCL
HDAC6	SMARCC1
TP53	TCF4
SUMO1	FADD
GTF2F1	GTF2F1
ATF7IP	SPTBN1
FN1	TIA1
MORF4L1	HDAC2
NCK1	BRCA1
ASH2L	HCFC1
SIRT7	MSH6
HSP90AA1	DDOST
PRDX5	PINX1
WASL	ACTR3
PIK3R2	PIK3R3
KMT5A	HIST1H4F
PHF5A	SFPQ
TIFA	TRAF6
PRKCA	SCRIB
EED	INTS1
GNAI2	ANXA1
ARRB1	AP3B1
TIMM50	TOMM40
LLGL1	TRIB1
RNF2	RPS19
STX5	VAMP5
RAB11A	PHB2
NRIP1	CTBP1
AR	STUB1
SMARCB1	VDR
CUL4A	PPP2R1A
WDR5	SMARCA5
MGLL	FADS1
DDB2	HSPD1
LCK	PTPRG
PPARD	NCOR1
UBE2D1	UBQLN1
CYCS	RNF7
EXOSC4	PSIP1
CDK6	PML
PTPN1	GRB2
TP53	TOP2B
MYC	GSK3A
CDKN1A	RPA1
USP7	PPP2CA
OGT	ASH2L
ARRB2	DYNC1H1
DNMT1	RB1
RBBP6	HSPA4
OBSL1	YWHAE
EXOSC4	UPF3B
ELAVL1	TRPC1
XPO1	CTNND1
CUL3	SRRT
SDCBP	MBD3
PSMA2	PSME2
UBE4B	XPC
UBE2D2	TRIM35
MCC	PSME3
SORT1	UPF1
HDAC11	XAB2
LCP2	SOS1
LIMD1	EGLN2
ITGB1	RGS12
IGBP1	S100A4
ATP5F1B	TUBB
PRKCQ	BDKRB2
MOV10	TNFRSF21
WWOX	TNK2
HDAC6	HES1
CFL1	ACAA2
LPAR1	ALG6
CEP250	PCM1
TLE5	REL
SUZ12	LIMA1
NCL	PHB
ICAM1	HNRNPU
PKN1	VIM
RSF1	SMARCA5
XRCC5	NDST1
SMAD1	GLI3
GRB2	PPP1CA
TGFB1	DCN
KDM1A	HDAC3
GRB2	ARHGAP9
EPAS1	PHB
DVL3	CBX8
NUDT21	CARM1
RNPS1	DHX38
XPO1	EIF3E
ANAPC11	ANAPC11
ITCH	RNF11
COPS5	AKAP8
JARID2	EHMT1
TNS3	BCAR1
LRRK2	YWHAG
CTNNB1	DAXX
FN1	PPP1CA
EED	RBMX
COPS5	HNRNPF
TMEM67	PSMC3
HNRNPM	SRRT
EIF2S1	YBX1
HIF1A	CREBBP
NR1H2	SMPD1
MDM2	UBE2L3
UBE2V1	UGDH
EZH2	KDM1A
SS18	ATF2
MAP3K1	VIM
SLX4	TOPBP1
CEBPB	NR3C1
MAP2K7	JUN
DDIT4	BTRC
MYH9	KIF13B
CTNNB1	POU5F1
TNS3	SRC
MNAT1	GTF2H2
RPA1	RFC3
HAUS1	KDM1A
TRAF5	SUMO1
SHC1	PLPP3
HSP90AB1	TARBP2
CDKN2C	SORBS3
JUN	ETV1
CAND1	KRT1
HPRT1	IPO13
TOMM40	TAX1BP3
TGFB1	NMT1
ERBB2	PTPRB
RNF8	UBE2D3
INSIG2	PSMC3
ADRM1	PSMC5
BAX	HDAC6
BRCA1	MED24
ACIN1	SRSF6
INPP5K	NCOR2
YBX1	C18orf32
PAK1	BRAF
IL2RA	PRKCA
SNCA	USP9X
DAG1	LAMA2
SF1	DHX38
KRT18	CASP3
DYNC1H1	SRSF1
PTK2B	ITGAV
ELN	FBLN1
RPTOR	CUL4B
LIMA1	APP
ZRSR2	JMJD6
STUB1	UBE2V2
CRKL	LTBP4
NAA10	EHMT2
INSR	PRKCI
UBE2K	CCNB1
MYH9	NCL
ARHGEF11	ARHGEF11
FN1	DBN1
NCOR1	TAF9
RNF11	SMAD4
RAC1	ELMO1
SKP2	CUL3
DDIT3	GIPC1
CUL4A	CTNNB1
VCP	RAB7A
SRPK2	TRA2A
ETV4	SRF
HSP90AA1	HK2
FOXA3	NR2F1
POLR3C	POLR3G
RAB7A	RAB6A
PTPN14	VHL
CDKN2A	HIF1A
ATXN7	TAF5L
SIRT7	ACTR3
AGO2	PRKRA
BIK	SLC37A4
TP53	NCL
GRK2	PRKACA
COMMD1	NFKB1
CDK2	CAND1
MED4	CKAP5
NBN	ATF2
CLIC1	LSM1
OTUB1	RHOA
ATXN1	LRSAM1
TARDBP	CAPRIN1
CSNK2A1	SPTBN1
LATS2	GIGYF1
MBD3	RBBP7
CREB1	HDAC1
SNTA1	IL2RA
TACC3	MIA3
HCK	ARRB1
PRKDC	CASP2
SRC	FYN
BLOC1S6	HAUS1
CAMKK2	IRAK1
PIN1	NUP62
YEATS4	EPC1
GADD45A	VIM
ARAF	GNA12
DCTN2	TRIM11
AHSA1	ZC3HAV1
IKBKG	LCK
TRAF2	CDC37
UBE2H	USP5
TRIM24	HIST1H4B
TBL1X	TBL1XR1
FLNA	TNFRSF1B
TAB2	DNAJA1
FOXRED2	VDAC1
MSH6	MCC
PAK1	PGAM1
NFKB2	RPS19
ILK	IGF2BP1
CSNK2A1	MTDH
NUDT21	MCC
SVIL	ACTN4
YWHAG	KRT18
PTBP1	CASP3
GIGYF2	CAPRIN1
PRDX5	APP
ILK	ATP2A2
RPA2	NBN
MSH2	SART1
SLC34A1	SLC9A3R1
ROBO1	USP33
USP2	EGFR
FBXO6	CLIC1
CDKN1B	RPS6KA2
EGFR	BUB3
HSPA2	UCHL5
NDUFV2	TJP1
AKT2	SORBS3
BAP1	PPM1G
PTK2	ATG12
HSP90AA1	HSPH1
SOD2	VHL
LLGL1	STX3
PTPN12	PXN
ADRB2	GRB2
SP3	PTGES
ARRB1	ACACA
CUL4B	RTCB
CTNNB1	DDX1
HSP90AA1	BRAF
MYLK	CALM2
ATF5	CD34
IQCB1	FLNA
PPP1R12A	RAF1
MAP3K11	COPS5
BRCA1	HIF1A
NUDT21	THOC6
ERBB2	PRKCA
HERC2	BICD2
PIK3R2	HSPA1B
CUL3	PPIA
TP53	MSH6
EMD	MYH9
BIRC3	RAF1
JUP	PSEN1
TFG	MAP3K3
MAPK1	UBR5
PINX1	PABPC1
HSPB1	CALR
HRAS	PRKCI
DVL2	TP53
CREBBP	PRKCZ
RPA1	NPM1
ATF2	ATP1A1
EIF4EBP1	RPS6KB1
EGFR	PTPN12
APC	SAV1
CPSF2	MTA2
DNM1	NCL
JUND	MAPK3
CTNNB1	TRRAP
HSPA8	TNFRSF1B
MAPK3	TSC2
REV1	HSP90AA1
PRKCZ	FSCN1
PLCB1	IMPA1
SRPK2	APEX1
FBXW11	EZH2
MCM2	AGO1
BAD	STEAP3
DAG1	DAG1
GSK3A	MCL1
TARDBP	RPS14
CDK2	MCM7
AGTR1	RACK1
DSP	PPP4C
PTCH1	EXT1
DEFB1	RIF1
MACF1	YBX3
DAB2	MALT1
MAPK14	LIMK1
POU5F1	ACTG1
RBBP4	SMARCC2
SMAD6	SMAD7
HSPB1	CRNKL1
BAG6	TUBB3
GSK3B	NCOA3
SIAH1	PLCE1
FLNA	SMAD5
CSNK1D	LURAP1
CTNNB1	SMARCA5
UBE2L3	YAP1
GADD45A	NPM1
DHX9	NAA15
CLDN1	TJP1
AR	SPDEF
PGAM1	MAPK13
OBSL1	KIF2A
APP	KIF1B
POLD3	TOP2B
TTYH3	NEDD4
SMAD6	SMURF2
CREBBP	HOXB3
REL	SPAG9
FN1	PLCG2
TAF9	SMARCA5
PTPN11	PTPN11
BRCA1	LDB1
ALX1	IPO13
FBN1	CALR
TACC3	VASP
UXT	URI1
HUWE1	HNRNPU
ING1	SIN3A
HNRNPA1	MRPL58
TRIM16	MCM7
FBXO6	ITGAV
POT1	ANXA2
STAT3	PTPN11
PRDX2	PRDX6
PDPK1	RPS6KB2
